itemName,place,state,category,description
Cuttack Filigree,Cuttack,Odisha,Jewelry,Silver filigree ornaments
Thanjavur Veena,Thanjavur,Tamil Nadu,Music,Handcrafted veena instruments
Mirzapur Carpet,Mirzapur,Uttar Pradesh,Home,Hand-knotted carpets and rugs
Bhagalpuri Silk,Bhagalpur,Bihar,Textile,Silk fabric known as tussar
Tussar Silk,Chaibasa,Jharkhand,Textile,Wild tussar silk weaves
Sholapith Craft,Kolkata,West Bengal,Handicraft,White shola decor and idols
Lonavala Chikki,Lonavala,Maharashtra,Food,Peanut brittle and sweet chikki
Dharwad Peda,Dharwad,Karnataka,Food,Milk-based sweet peda
Mysore Pak,Mysuru,Karnataka,Food,Ghee-rich sweet made with gram flour
Tirunelveli Halwa,Tirunelveli,Tamil Nadu,Food,Wheat halwa with ghee
Coorg Honey,Madikeri,Karnataka,Food,Forest honey from Coorg
Kullu Kinnauri Caps,Kullu,Himachal Pradesh,Accessories,Wool caps and traditional headwear
Bengal Rasgulla,Kolkata,West Bengal,Food,Soft chhena sweet in syrup
Petha,Agra,Uttar Pradesh,Food,"Ash gourd sweet, flavored varieties"
Sanganeri Blue Pottery,Jaipur,Rajasthan,Handicraft,Glazed ceramics with floral patterns
Thang-ta Handmade Accessories,Imphal,Manipur,Accessories,Local handicraft accessories inspired by tradition
Handwoven Basket (Handloom) - Kohima,Kohima,Nagaland,Handicraft,Bamboo/cane basketry by local artisans
Block Print Tablecloth (Traditional) - Udaipur,Udaipur,Rajasthan,Textile,Hand block printed cotton for home
Traditional Silver Earrings (Traditional) - Delhi,Delhi,Delhi,Jewelry,Handcrafted earrings with local motifs
Stone Carved Idol (Artisan) - Udaipur,Udaipur,Rajasthan,Handicraft,Hand-carved stone deity figurine
Block Print Tablecloth (Handloom) - Vadodara,Vadodara,Gujarat,Textile,Hand block printed cotton for home
Block Print Tablecloth (Artisan) - Puri,Puri,Odisha,Textile,Hand block printed cotton for home
Stone Carved Idol (Handloom) - Bikaner,Bikaner,Rajasthan,Handicraft,Hand-carved stone deity figurine
Traditional Pickle - Udaipur,Udaipur,Rajasthan,Food,Homemade style pickle in regional flavors
Handpainted Magnet (Traditional) - Kochi,Kochi,Kerala,Handicraft,Souvenir magnet with local art
Traditional Pickle (Traditional) - Udaipur,Udaipur,Rajasthan,Food,Homemade style pickle in regional flavors
Handmade Clay Diyas (Artisan) - Srinagar,Srinagar,Jammu & Kashmir,Handicraft,Traditional clay lamps for festivals
Stone Carved Idol (Artisan) - Vadodara,Vadodara,Gujarat,Handicraft,Hand-carved stone deity figurine
Herbal Tea Blend (Artisan) - Shillong,Shillong,Meghalaya,Beverage,Local herbs blended for wellness tea
Traditional Pickle (Heritage) - Mumbai,Mumbai,Maharashtra,Food,Homemade style pickle in regional flavors
Block Print Tablecloth (Traditional) - Chennai,Chennai,Tamil Nadu,Textile,Hand block printed cotton for home
Traditional Silver Earrings - Bengaluru,Bengaluru,Karnataka,Jewelry,Handcrafted earrings with local motifs
Traditional Pickle - Jodhpur,Jodhpur,Rajasthan,Food,Homemade style pickle in regional flavors
Wooden Carved Keychain (Traditional) - Hyderabad,Hyderabad,Telangana,Handicraft,Small souvenir with carving
Traditional Silver Earrings (Handloom) - Patna,Patna,Bihar,Jewelry,Handcrafted earrings with local motifs
Traditional Silver Earrings (Heritage) - Thiruvananthapuram,Thiruvananthapuram,Kerala,Jewelry,Handcrafted earrings with local motifs
Handwoven Basket (Artisan) - Bhopal,Bhopal,Madhya Pradesh,Handicraft,Bamboo/cane basketry by local artisans
Traditional Pickle (Heritage) - Bikaner,Bikaner,Rajasthan,Food,Homemade style pickle in regional flavors
Traditional Silver Earrings (Handloom) - Coimbatore,Coimbatore,Tamil Nadu,Jewelry,Handcrafted earrings with local motifs
Traditional Pickle - Shillong,Shillong,Meghalaya,Food,Homemade style pickle in regional flavors
Stone Carved Idol (Handloom) - Mumbai,Mumbai,Maharashtra,Handicraft,Hand-carved stone deity figurine
Traditional Silver Earrings (Artisan) - Jaipur,Jaipur,Rajasthan,Jewelry,Handcrafted earrings with local motifs
Herbal Tea Blend - Coimbatore,Coimbatore,Tamil Nadu,Beverage,Local herbs blended for wellness tea
Stone Carved Idol (Traditional) - Jodhpur,Jodhpur,Rajasthan,Handicraft,Hand-carved stone deity figurine
Traditional Silver Earrings (Heritage) - Kohima,Kohima,Nagaland,Jewelry,Handcrafted earrings with local motifs
Traditional Pickle (Handloom) - Coimbatore,Coimbatore,Tamil Nadu,Food,Homemade style pickle in regional flavors
Block Print Tablecloth (Heritage) - Jodhpur,Jodhpur,Rajasthan,Textile,Hand block printed cotton for home
Handcrafted Clay Pot - Madurai,Madurai,Tamil Nadu,Handicraft,Earthen cookware and decor
Handcrafted Clay Pot (Heritage) - Udaipur,Udaipur,Rajasthan,Handicraft,Earthen cookware and decor
GI-tagged Handloom Saree (Handloom) - Ranchi,Ranchi,Jharkhand,Textile,Authentic weave from traditional looms
Handmade Clay Diyas (Handloom) - Varanasi,Varanasi,Uttar Pradesh,Handicraft,Traditional clay lamps for festivals
Handwoven Basket (Traditional) - Varanasi,Varanasi,Uttar Pradesh,Handicraft,Bamboo/cane basketry by local artisans
Wooden Carved Keychain - Mumbai,Mumbai,Maharashtra,Handicraft,Small souvenir with carving
GI-tagged Handloom Saree (Artisan) - Hyderabad,Hyderabad,Telangana,Textile,Authentic weave from traditional looms
Herbal Tea Blend (Handloom) - Bhopal,Bhopal,Madhya Pradesh,Beverage,Local herbs blended for wellness tea
Block Print Tablecloth (Artisan) - Coimbatore,Coimbatore,Tamil Nadu,Textile,Hand block printed cotton for home
Herbal Tea Blend (Traditional) - Ranchi,Ranchi,Jharkhand,Beverage,Local herbs blended for wellness tea
Handwoven Basket (Handloom) - Guwahati,Guwahati,Assam,Handicraft,Bamboo/cane basketry by local artisans
Handcrafted Clay Pot (Handloom) - Guwahati,Guwahati,Assam,Handicraft,Earthen cookware and decor
Handpainted Magnet (Handloom) - Varanasi,Varanasi,Uttar Pradesh,Handicraft,Souvenir magnet with local art
Handwoven Basket - Kochi,Kochi,Kerala,Handicraft,Bamboo/cane basketry by local artisans
Handwoven Basket (Artisan) - Chennai,Chennai,Tamil Nadu,Handicraft,Bamboo/cane basketry by local artisans
Handmade Clay Diyas (Handloom) - Kochi,Kochi,Kerala,Handicraft,Traditional clay lamps for festivals
GI-tagged Handloom Saree (Heritage) - Chennai,Chennai,Tamil Nadu,Textile,Authentic weave from traditional looms
Handwoven Basket (Handloom) - Surat,Surat,Gujarat,Handicraft,Bamboo/cane basketry by local artisans
Traditional Pickle (Traditional) - Lucknow,Lucknow,Uttar Pradesh,Food,Homemade style pickle in regional flavors
Handwoven Basket (Traditional) - Kohima,Kohima,Nagaland,Handicraft,Bamboo/cane basketry by local artisans
Wooden Carved Keychain (Traditional) - Udaipur,Udaipur,Rajasthan,Handicraft,Small souvenir with carving
Herbal Tea Blend (Handloom) - Srinagar,Srinagar,Jammu & Kashmir,Beverage,Local herbs blended for wellness tea
Block Print Tablecloth (Handloom) - Srinagar,Srinagar,Jammu & Kashmir,Textile,Hand block printed cotton for home
Spice Mix Masala (Handloom) - Jodhpur,Jodhpur,Rajasthan,Food,Local blend of spices for regional cuisine
Block Print Tablecloth (Heritage) - Jaipur,Jaipur,Rajasthan,Textile,Hand block printed cotton for home
Block Print Tablecloth - Udaipur,Udaipur,Rajasthan,Textile,Hand block printed cotton for home
Stone Carved Idol - Kolkata,Kolkata,West Bengal,Handicraft,Hand-carved stone deity figurine
Traditional Pickle - Lucknow,Lucknow,Uttar Pradesh,Food,Homemade style pickle in regional flavors
Spice Mix Masala (Traditional) - Jodhpur,Jodhpur,Rajasthan,Food,Local blend of spices for regional cuisine
Handwoven Basket (Heritage) - Amritsar,Amritsar,Punjab,Handicraft,Bamboo/cane basketry by local artisans
Traditional Pickle (Heritage) - Varanasi,Varanasi,Uttar Pradesh,Food,Homemade style pickle in regional flavors
Block Print Tablecloth - Madurai,Madurai,Tamil Nadu,Textile,Hand block printed cotton for home
Wooden Carved Keychain (Handloom) - Coimbatore,Coimbatore,Tamil Nadu,Handicraft,Small souvenir with carving
GI-tagged Handloom Saree - Madurai,Madurai,Tamil Nadu,Textile,Authentic weave from traditional looms
Block Print Tablecloth (Heritage) - Kolkata,Kolkata,West Bengal,Textile,Hand block printed cotton for home
Wooden Carved Keychain (Artisan) - Indore,Indore,Madhya Pradesh,Handicraft,Small souvenir with carving
Spice Mix Masala (Traditional) - Ahmedabad,Ahmedabad,Gujarat,Food,Local blend of spices for regional cuisine
Handwoven Basket (Traditional) - Lucknow,Lucknow,Uttar Pradesh,Handicraft,Bamboo/cane basketry by local artisans
Stone Carved Idol (Heritage) - Ahmedabad,Ahmedabad,Gujarat,Handicraft,Hand-carved stone deity figurine
Handcrafted Clay Pot (Heritage) - Bikaner,Bikaner,Rajasthan,Handicraft,Earthen cookware and decor
Handwoven Basket (Heritage) - Lucknow,Lucknow,Uttar Pradesh,Handicraft,Bamboo/cane basketry by local artisans
Stone Carved Idol (Traditional) - Kochi,Kochi,Kerala,Handicraft,Hand-carved stone deity figurine
Traditional Silver Earrings (Artisan) - Mysuru,Mysuru,Karnataka,Jewelry,Handcrafted earrings with local motifs
Spice Mix Masala (Handloom) - Bengaluru,Bengaluru,Karnataka,Food,Local blend of spices for regional cuisine
Spice Mix Masala (Traditional) - Kochi,Kochi,Kerala,Food,Local blend of spices for regional cuisine
Traditional Silver Earrings - Coimbatore,Coimbatore,Tamil Nadu,Jewelry,Handcrafted earrings with local motifs
GI-tagged Handloom Saree (Handloom) - Ahmedabad,Ahmedabad,Gujarat,Textile,Authentic weave from traditional looms
Spice Mix Masala (Traditional) - Indore,Indore,Madhya Pradesh,Food,Local blend of spices for regional cuisine
Wooden Carved Keychain (Heritage) - Varanasi,Varanasi,Uttar Pradesh,Handicraft,Small souvenir with carving
Block Print Tablecloth (Artisan) - Lucknow,Lucknow,Uttar Pradesh,Textile,Hand block printed cotton for home
Spice Mix Masala (Handloom) - Delhi,Delhi,Delhi,Food,Local blend of spices for regional cuisine
Traditional Silver Earrings (Artisan) - Bengaluru,Bengaluru,Karnataka,Jewelry,Handcrafted earrings with local motifs
Traditional Pickle (Traditional) - Madurai,Madurai,Tamil Nadu,Food,Homemade style pickle in regional flavors
Wooden Carved Keychain (Heritage) - Surat,Surat,Gujarat,Handicraft,Small souvenir with carving
Handpainted Magnet - Bikaner,Bikaner,Rajasthan,Handicraft,Souvenir magnet with local art
Handcrafted Clay Pot (Artisan) - Amritsar,Amritsar,Punjab,Handicraft,Earthen cookware and decor
Handwoven Basket (Handloom) - Madurai,Madurai,Tamil Nadu,Handicraft,Bamboo/cane basketry by local artisans
Block Print Tablecloth (Handloom) - Panaji,Panaji,Goa,Textile,Hand block printed cotton for home
Herbal Tea Blend - Thiruvananthapuram,Thiruvananthapuram,Kerala,Beverage,Local herbs blended for wellness tea
Handwoven Basket (Artisan) - Jaipur,Jaipur,Rajasthan,Handicraft,Bamboo/cane basketry by local artisans
Handwoven Basket (Traditional) - Ahmedabad,Ahmedabad,Gujarat,Handicraft,Bamboo/cane basketry by local artisans
Handpainted Magnet (Artisan) - Thiruvananthapuram,Thiruvananthapuram,Kerala,Handicraft,Souvenir magnet with local art
Handpainted Magnet (Heritage) - Madurai,Madurai,Tamil Nadu,Handicraft,Souvenir magnet with local art
Stone Carved Idol (Traditional) - Kolkata,Kolkata,West Bengal,Handicraft,Hand-carved stone deity figurine
Handmade Clay Diyas - Pune,Pune,Maharashtra,Handicraft,Traditional clay lamps for festivals
Stone Carved Idol (Artisan) - Delhi,Delhi,Delhi,Handicraft,Hand-carved stone deity figurine
Spice Mix Masala (Artisan) - Patna,Patna,Bihar,Food,Local blend of spices for regional cuisine
GI-tagged Handloom Saree (Artisan) - Ahmedabad,Ahmedabad,Gujarat,Textile,Authentic weave from traditional looms
Stone Carved Idol (Artisan) - Shillong,Shillong,Meghalaya,Handicraft,Hand-carved stone deity figurine
GI-tagged Handloom Saree (Traditional) - Kohima,Kohima,Nagaland,Textile,Authentic weave from traditional looms
Handwoven Basket - Puri,Puri,Odisha,Handicraft,Bamboo/cane basketry by local artisans
Wooden Carved Keychain (Traditional) - Varanasi,Varanasi,Uttar Pradesh,Handicraft,Small souvenir with carving
Stone Carved Idol (Artisan) - Puri,Puri,Odisha,Handicraft,Hand-carved stone deity figurine
Wooden Carved Keychain (Artisan) - Ahmedabad,Ahmedabad,Gujarat,Handicraft,Small souvenir with carving
Handwoven Basket (Artisan) - Surat,Surat,Gujarat,Handicraft,Bamboo/cane basketry by local artisans
Wooden Carved Keychain (Traditional) - Kolkata,Kolkata,West Bengal,Handicraft,Small souvenir with carving
Stone Carved Idol - Mumbai,Mumbai,Maharashtra,Handicraft,Hand-carved stone deity figurine
Handpainted Magnet (Traditional) - Kohima,Kohima,Nagaland,Handicraft,Souvenir magnet with local art
Block Print Tablecloth (Traditional) - Madurai,Madurai,Tamil Nadu,Textile,Hand block printed cotton for home
Spice Mix Masala (Artisan) - Udaipur,Udaipur,Rajasthan,Food,Local blend of spices for regional cuisine
Handmade Clay Diyas - Guwahati,Guwahati,Assam,Handicraft,Traditional clay lamps for festivals
Wooden Carved Keychain (Traditional) - Mysuru,Mysuru,Karnataka,Handicraft,Small souvenir with carving
Block Print Tablecloth (Handloom) - Ahmedabad,Ahmedabad,Gujarat,Textile,Hand block printed cotton for home
Traditional Pickle (Traditional) - Kohima,Kohima,Nagaland,Food,Homemade style pickle in regional flavors
Spice Mix Masala (Heritage) - Mysuru,Mysuru,Karnataka,Food,Local blend of spices for regional cuisine
Stone Carved Idol (Traditional) - Ranchi,Ranchi,Jharkhand,Handicraft,Hand-carved stone deity figurine
Stone Carved Idol (Artisan) - Madurai,Madurai,Tamil Nadu,Handicraft,Hand-carved stone deity figurine
Stone Carved Idol (Artisan) - Indore,Indore,Madhya Pradesh,Handicraft,Hand-carved stone deity figurine
Handwoven Basket (Handloom) - Ranchi,Ranchi,Jharkhand,Handicraft,Bamboo/cane basketry by local artisans
Herbal Tea Blend (Handloom) - Mumbai,Mumbai,Maharashtra,Beverage,Local herbs blended for wellness tea
Block Print Tablecloth (Artisan) - Kohima,Kohima,Nagaland,Textile,Hand block printed cotton for home
Block Print Tablecloth (Artisan) - Patna,Patna,Bihar,Textile,Hand block printed cotton for home
Block Print Tablecloth (Artisan) - Imphal,Imphal,Manipur,Textile,Hand block printed cotton for home
Wooden Carved Keychain (Artisan) - Pune,Pune,Maharashtra,Handicraft,Small souvenir with carving
Herbal Tea Blend (Handloom) - Delhi,Delhi,Delhi,Beverage,Local herbs blended for wellness tea
Handpainted Magnet (Artisan) - Jaipur,Jaipur,Rajasthan,Handicraft,Souvenir magnet with local art
Handcrafted Clay Pot (Handloom) - Jaipur,Jaipur,Rajasthan,Handicraft,Earthen cookware and decor
Herbal Tea Blend (Heritage) - Mysuru,Mysuru,Karnataka,Beverage,Local herbs blended for wellness tea
Spice Mix Masala (Heritage) - Puri,Puri,Odisha,Food,Local blend of spices for regional cuisine
Block Print Tablecloth (Heritage) - Kohima,Kohima,Nagaland,Textile,Hand block printed cotton for home
Traditional Silver Earrings (Traditional) - Ahmedabad,Ahmedabad,Gujarat,Jewelry,Handcrafted earrings with local motifs
Wooden Carved Keychain - Thiruvananthapuram,Thiruvananthapuram,Kerala,Handicraft,Small souvenir with carving
Traditional Silver Earrings (Traditional) - Amritsar,Amritsar,Punjab,Jewelry,Handcrafted earrings with local motifs
Stone Carved Idol - Shillong,Shillong,Meghalaya,Handicraft,Hand-carved stone deity figurine
Spice Mix Masala - Mumbai,Mumbai,Maharashtra,Food,Local blend of spices for regional cuisine
GI-tagged Handloom Saree (Heritage) - Bikaner,Bikaner,Rajasthan,Textile,Authentic weave from traditional looms
Handwoven Basket (Heritage) - Vadodara,Vadodara,Gujarat,Handicraft,Bamboo/cane basketry by local artisans
Herbal Tea Blend (Heritage) - Pune,Pune,Maharashtra,Beverage,Local herbs blended for wellness tea
Handwoven Basket (Traditional) - Srinagar,Srinagar,Jammu & Kashmir,Handicraft,Bamboo/cane basketry by local artisans
Traditional Pickle (Handloom) - Mysuru,Mysuru,Karnataka,Food,Homemade style pickle in regional flavors
Handcrafted Clay Pot (Artisan) - Udaipur,Udaipur,Rajasthan,Handicraft,Earthen cookware and decor
Block Print Tablecloth (Heritage) - Patna,Patna,Bihar,Textile,Hand block printed cotton for home
Handpainted Magnet - Ahmedabad,Ahmedabad,Gujarat,Handicraft,Souvenir magnet with local art
Block Print Tablecloth (Traditional) - Indore,Indore,Madhya Pradesh,Textile,Hand block printed cotton for home
Block Print Tablecloth (Heritage) - Kochi,Kochi,Kerala,Textile,Hand block printed cotton for home
Stone Carved Idol (Handloom) - Panaji,Panaji,Goa,Handicraft,Hand-carved stone deity figurine
Traditional Pickle (Artisan) - Guwahati,Guwahati,Assam,Food,Homemade style pickle in regional flavors
Handwoven Basket (Heritage) - Mumbai,Mumbai,Maharashtra,Handicraft,Bamboo/cane basketry by local artisans
Handwoven Basket (Artisan) - Udaipur,Udaipur,Rajasthan,Handicraft,Bamboo/cane basketry by local artisans
Handpainted Magnet (Heritage) - Imphal,Imphal,Manipur,Handicraft,Souvenir magnet with local art
GI-tagged Handloom Saree (Handloom) - Hyderabad,Hyderabad,Telangana,Textile,Authentic weave from traditional looms
